STAR:030,4,FROGZ5,ACORI,SNAPY,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FROGZ5,ACORI,NICKI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,FROGZ5,ACORI,BROMO,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,FROGZ5,ACORI,SCURF,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,FROGZ5,ACORI,PLOWS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL340,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,FROGZ5,ACORI,MATNY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,FROGZ5,ACORI,KLEET,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,     , ,280,    ,   , , , , , , , , ;
STAR:100,4,FROGZ5,ACORI,BARBN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:110,4,FROGZ5,ACORI,JAMAS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:120,4,FROGZ5,ACORI,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FROGZ5,BROMO,BROMO,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,FROGZ5,BROMO,SCURF,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,FROGZ5,BROMO,PLOWS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL340,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FROGZ5,BROMO,MATNY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,FROGZ5,BROMO,KLEET,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,     , ,280,    ,   , , , , , , , , ;
STAR:060,4,FROGZ5,BROMO,BARBN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,FROGZ5,BROMO,JAMAS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:080,4,FROGZ5,BROMO,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FROGZ5,BULZI,BULZI,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,FROGZ5,BULZI,SNAPY,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,FROGZ5,BULZI,NICKI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FROGZ5,BULZI,BROMO,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,FROGZ5,BULZI,SCURF,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,FROGZ5,BULZI,PLOWS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL340,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,FROGZ5,BULZI,MATNY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,FROGZ5,BULZI,KLEET,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,     , ,280,    ,   , , , , , , , , ;
STAR:090,4,FROGZ5,BULZI,BARBN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,FROGZ5,BULZI,JAMAS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:110,4,FROGZ5,BULZI,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FROGZ5,DEFUN,DEFUN,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,FROGZ5,DEFUN,CABLO,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,FROGZ5,DEFUN,BULZI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FROGZ5,DEFUN,SNAPY,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,FROGZ5,DEFUN,NICKI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,FROGZ5,DEFUN,BROMO,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,FROGZ5,DEFUN,SCURF,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,FROGZ5,DEFUN,PLOWS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL340,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,FROGZ5,DEFUN,MATNY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,FROGZ5,DEFUN,KLEET,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,     , ,280,    ,   , , , , , , , , ;
STAR:110,4,FROGZ5,DEFUN,BARBN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:120,4,FROGZ5,DEFUN,JAMAS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:130,4,FROGZ5,DEFUN,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FROGZ5,DOWRY,DOWRY,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,FROGZ5,DOWRY,CIGAR,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,FROGZ5,DOWRY,OCHHO,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FROGZ5,DOWRY,GAWKS,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,FROGZ5,DOWRY,BAGGS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,FROGZ5,DOWRY,PLOWS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL340,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,FROGZ5,DOWRY,MATNY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,FROGZ5,DOWRY,KLEET,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,     , ,280,    ,   , , , , , , , , ;
STAR:090,4,FROGZ5,DOWRY,BARBN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,FROGZ5,DOWRY,JAMAS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:110,4,FROGZ5,DOWRY,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FROGZ5,GAWKS,GAWKS,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,FROGZ5,GAWKS,BAGGS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,FROGZ5,GAWKS,PLOWS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL340,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FROGZ5,GAWKS,MATNY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,FROGZ5,GAWKS,KLEET,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,     , ,280,    ,   , , , , , , , , ;
STAR:060,4,FROGZ5,GAWKS,BARBN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,FROGZ5,GAWKS,JAMAS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:080,4,FROGZ5,GAWKS,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FROGZ5,HONID,HONID,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,FROGZ5,HONID,IPOKE,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,FROGZ5,HONID,BULZI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FROGZ5,HONID,SNAPY,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,FROGZ5,HONID,NICKI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,FROGZ5,HONID,BROMO,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,FROGZ5,HONID,SCURF,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,FROGZ5,HONID,PLOWS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL340,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,FROGZ5,HONID,MATNY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,FROGZ5,HONID,KLEET,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,     , ,280,    ,   , , , , , , , , ;
STAR:110,4,FROGZ5,HONID,BARBN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:120,4,FROGZ5,HONID,JAMAS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:130,4,FROGZ5,HONID,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FROGZ5,MARCI,MARCI,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,18000, ,280,    ,   , , , , , , , , ;
STAR:020,4,FROGZ5,MARCI,SUMPS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:030,4,FROGZ5,MARCI,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FROGZ5,SABEE,SABEE,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,FL250,     ,18000, ,280,    ,   , , , , , , , , ;
STAR:020,4,FROGZ5,SABEE,EXACT,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,FROGZ5,SABEE,MATNY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FROGZ5,SABEE,KLEET,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,     , ,280,    ,   , , , , , , , , ;
STAR:050,4,FROGZ5,SABEE,BARBN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,FROGZ5,SABEE,JAMAS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:070,4,FROGZ5,SABEE,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FROGZ5,SCURF,SCURF,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,FROGZ5,SCURF,PLOWS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL340,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,FROGZ5,SCURF,MATNY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FROGZ5,SCURF,KLEET,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL280,FL210,     , ,280,    ,   , , , , , , , , ;
STAR:050,4,FROGZ5,SCURF,BARBN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,FROGZ5,SCURF,JAMAS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:070,4,FROGZ5,SCURF,FROGZ,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,FROGZ5,ALL,FROGZ,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,FROGZ5,ALL,HATUG,K7,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,09000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,FROGZ5,ALL,KTMB,K7,P,A,AE  , ,   ,VM, , , , , ,      ,    ,    ,1400,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,PALMZ2,PIE,PIE,K7,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,PALMZ2,PIE,SRQ,K7,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,PALMZ2,PIE,PALMZ,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,PALMZ2,RSW,RSW,K7,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,PALMZ2,RSW,DUMDY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,PALMZ2,RSW,PALMZ,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,PALMZ2,SRQ,SRQ,K7,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,PALMZ2,SRQ,PALMZ,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,PALMZ2,ALL,PALMZ,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:025,2,PALMZ2,ALL,PRIVY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:032,2,PALMZ2,ALL,COOFS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,PALMZ2,ALL,DHP,K7,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,SNDBR3,CANOA,CANOA,K7,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,SNDBR3,CANOA,JABOX,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,SNDBR3,CANOA,SLIPT,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,SNDBR3,CANOA,CONCK,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL300,FL250,     , ,280,    ,   , , , , , , , , ;
STAR:050,4,SNDBR3,CANOA,PAMPR,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL230,     ,     , ,280,    ,   , , , , , , , , ;
STAR:060,4,SNDBR3,CANOA,SNDBR,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,SNDBR3,CITAG,CITAG,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,SNDBR3,CITAG,KARTR,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,SNDBR3,CITAG,PYREX,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,SNDBR3,CITAG,SNDBR,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,SNDBR3,IKBIX,IKBIX,K7,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,SNDBR3,IKBIX,PEAKY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,SNDBR3,IKBIX,PAMPR,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL230,     ,     , ,280,    ,   , , , , , , , , ;
STAR:040,4,SNDBR3,IKBIX,SNDBR,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,SNDBR3,MAXIM,MAXIM,K7,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,SNDBR3,MAXIM,JABOX,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,SNDBR3,MAXIM,SLIPT,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,SNDBR3,MAXIM,CONCK,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL300,FL250,     , ,280,    ,   , , , , , , , , ;
STAR:050,4,SNDBR3,MAXIM,PAMPR,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL230,     ,     , ,280,    ,   , , , , , , , , ;
STAR:060,4,SNDBR3,MAXIM,SNDBR,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,SNDBR3,PAMPR,PAMPR,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL230,     ,18000, ,280,    ,   , , , , , , , , ;
STAR:020,4,SNDBR3,PAMPR,SNDBR,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,SNDBR3,ALL,SNDBR,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,SNDBR3,ALL,CJAAY,K7,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,SNDBR3,ALL,CJAAY,K7,E,A,EE  , ,   ,FM, ,SRQ,K7,D, ,      ,1435,1457,0250,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,TARPN3,DEBRL,DEBRL,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,TARPN3,DEBRL,DAVEC,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,TARPN3,DEBRL,RONQU,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,TARPN3,DEBRL,BLUFI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,TARPN3,DEBRL,TARPN,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,TARPN3,HIBAC,HIBAC,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:015,4,TARPN3,HIBAC,JIPOD,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,4,TARPN3,HIBAC,WIDET,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,TARPN3,HIBAC,RONQU,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,TARPN3,HIBAC,BLUFI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,TARPN3,HIBAC,TARPN,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,TARPN3,JIPOD,JIPOD,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:015,4,TARPN3,JIPOD,WIDET,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:017,4,TARPN3,JIPOD,RONQU,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:018,4,TARPN3,JIPOD,BLUFI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,4,TARPN3,JIPOD,TARPN,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
